Player,Pos,Squad,Comp,Age,90s,Tackles-Tkl,Tackles-TklW,Tackles-Def 3rd,Tackles-Mid 3rd,Tackles-Att 3rd,Challenges-Tkl,Challenges-Att,Challenges-Tkl%,Challenges-Lost,Blocks-Blocks,Blocks-Sh,Blocks-Pass,Int,Tkl+Int,Clr,Err
Max Aarons,DF,Bournemouth,eng Premier League,23,13.7,29,19,20,7,2,20,34,58.8,14,9,5,4,8,37,27,0
Brenden Aaronson,"MF,FW",Union Berlin,de Bundesliga,22,14.1,32,18,13,13,6,16,32,50.0,16,26,1,25,2,34,4,0
Yunis Abdelhamid,DF,Reims,fr Ligue 1,35,30.9,64,35,36,23,5,26,45,57.8,19,51,32,19,39,103,109,2
Salis Abdul Samed,MF,Lens,fr Ligue 1,23,16.9,21,14,8,10,3,8,18,44.4,10,12,1,11,12,33,18,0
Laurent Abergel,MF,Lorient,fr Ligue 1,30,31.8,85,52,43,34,8,38,96,39.6,58,29,6,23,61,146,61,3
Matthis Abline,FW,Nantes,fr Ligue 1,20,11.6,9,4,4,3,2,3,8,37.5,5,3,0,3,3,12,5,0
Abner,DF,Betis,es La Liga,23,15.6,25,19,15,9,1,17,34,50.0,17,23,5,18,15,40,62,0
Zakaria Aboukhlal,"MF,FW",Toulouse,fr Ligue 1,23,8.4,9,8,1,5,3,3,12,25.0,9,9,1,8,1,10,2,0
Abdel Abqar,DF,Alavés,es La Liga,24,25.7,35,19,28,5,2,21,35,60.0,14,31,26,5,23,58,115,0
Francesco Acerbi,DF,Inter,it Serie A,35,26.5,22,13,16,6,0,11,14,78.6,3,20,13,7,32,54,77,1
Marcos Acuña,DF,Sevilla,es La Liga,31,14.4,33,21,20,12,1,9,14,64.3,5,12,2,10,4,37,25,0
Bénie Adama Traore,"FW,MF",Sheffield Utd,eng Premier League,20,4.3,4,2,1,2,1,0,4,0.0,4,4,1,3,1,5,1,0
Bénie Adama Traore,"FW,MF",Nantes,fr Ligue 1,20,5.6,8,4,2,5,1,3,7,42.9,4,3,0,3,1,9,1,0
Akor Adams,FW,Montpellier,fr Ligue 1,23,25.0,12,4,3,4,5,3,7,42.9,4,9,2,7,5,17,11,0
Sargis Adamyan,"FW,MF",Köln,de Bundesliga,30,8.9,14,9,2,9,3,6,11,54.5,5,16,1,15,5,19,7,0
Tosin Adarabioyo,DF,Fulham,eng Premier League,25,18.0,21,11,16,5,0,12,21,57.1,9,16,11,5,25,46,80,0
Elijah Adebayo,FW,Luton Town,eng Premier League,25,15.8,4,1,1,0,3,1,12,8.3,11,13,2,11,6,10,25,0
Karim Adeyemi,"FW,MF",Dortmund,de Bundesliga,21,10.1,16,14,9,4,3,8,20,40.0,12,11,0,11,3,19,5,0
Simon Adingra,FW,Brighton,eng Premier League,21,24.7,45,20,23,11,11,19,42,45.2,23,31,1,30,19,64,22,0
Nathaniel Adjei,DF,Lorient,fr Ligue 1,20,13.8,13,9,8,3,2,6,7,85.7,1,15,8,7,18,31,64,1
Amine Adli,"MF,FW",Leverkusen,de Bundesliga,23,10.0,16,7,2,10,4,7,17,41.2,10,10,2,8,6,22,5,0
