Player,Pos,Squad,Comp,Age,90s,SCA-SCA,SCA-SCA90,SCA Types-PassLive,SCA Types-PassDead,SCA Types-TO,SCA Types-Sh,SCA Types-Fld,SCA Types-Def,GCA-GCA,GCA-GCA90,GCA Types-PassLive,GCA Types-PassDead,GCA Types-TO,GCA Types-Sh,GCA Types-Fld,GCA Types-Def
Max Aarons,DF,Bournemouth,eng Premier League,23,13.7,23,1.68,16,4,0,0,3,0,2,0.15,2,0,0,0,0,0
Brenden Aaronson,"MF,FW",Union Berlin,de Bundesliga,22,14.1,53,3.76,41,1,8,3,0,0,8,0.57,6,0,2,0,0,0
Yunis Abdelhamid,DF,Reims,fr Ligue 1,35,30.9,24,0.78,19,1,0,3,1,0,1,0.03,0,0,0,1,0,0
Salis Abdul Samed,MF,Lens,fr Ligue 1,23,16.9,27,1.60,27,0,0,0,0,0,3,0.18,3,0,0,0,0,0
Laurent Abergel,MF,Lorient,fr Ligue 1,30,31.8,81,2.55,67,3,2,1,2,6,5,0.16,3,0,1,0,0,1
Matthis Abline,FW,Nantes,fr Ligue 1,20,11.6,38,3.28,30,0,5,2,1,0,2,0.17,0,0,1,0,1,0
Abner,DF,Betis,es La Liga,23,15.6,14,0.90,13,0,0,1,0,0,0,0.00,0,0,0,0,0,0
Zakaria Aboukhlal,"MF,FW",Toulouse,fr Ligue 1,23,8.4,20,2.39,10,0,2,3,3,2,2,0.24,0,0,0,1,1,0
Abdel Abqar,DF,Alavés,es La Liga,24,25.7,12,0.47,9,0,0,2,1,0,0,0.00,0,0,0,0,0,0
Francesco Acerbi,DF,Inter,it Serie A,35,26.5,22,0.83,19,0,0,3,0,0,1,0.04,1,0,0,0,0,0
Marcos Acuña,DF,Sevilla,es La Liga,31,14.4,49,3.42,28,15,3,0,2,1,4,0.28,1,3,0,0,0,0
Bénie Adama Traore,"FW,MF",Sheffield Utd,eng Premier League,20,4.3,6,1.40,6,0,0,0,0,0,1,0.23,1,0,0,0,0,0
Bénie Adama Traore,"FW,MF",Nantes,fr Ligue 1,20,5.6,15,2.68,13,1,0,1,0,0,1,0.18,1,0,0,0,0,0
Akor Adams,FW,Montpellier,fr Ligue 1,23,25.0,43,1.72,29,0,5,8,1,0,3,0.12,0,0,2,1,0,0
Sargis Adamyan,"FW,MF",Köln,de Bundesliga,30,8.9,31,3.48,22,0,1,1,6,1,3,0.34,1,0,0,1,1,0
Tosin Adarabioyo,DF,Fulham,eng Premier League,25,18.0,10,0.56,6,0,0,4,0,0,0,0.00,0,0,0,0,0,0
Elijah Adebayo,FW,Luton Town,eng Premier League,25,15.8,31,1.97,19,0,5,5,2,0,5,0.32,2,0,0,3,0,0
Karim Adeyemi,"FW,MF",Dortmund,de Bundesliga,21,10.1,25,2.46,13,1,3,2,6,0,2,0.20,2,0,0,0,0,0
Simon Adingra,FW,Brighton,eng Premier League,21,24.7,77,3.12,51,1,13,7,3,2,4,0.16,3,0,0,0,0,1
Nathaniel Adjei,DF,Lorient,fr Ligue 1,20,13.8,11,0.80,8,0,0,0,1,2,0,0.00,0,0,0,0,0,0
Amine Adli,"MF,FW",Leverkusen,de Bundesliga,23,10.0,52,5.22,39,0,6,3,4,0,9,0.90,5,0,2,1,1,0
Yacine Adli,MF,Milan,it Serie A,23,15.6,62,3.97,41,18,3,0,0,0,8,0.51,4,3,1,0,0,0
Michel Aebischer,MF,Bologna,it Serie A,26,24.8,40,1.61,32,2,2,2,2,0,1,0.04,1,0,0,0,0,0
Emmanuel Agbadou,DF,Reims,fr Ligue 1,26,28.8,47,1.63,43,0,0,4,0,0,1,0.03,1,0,0,0,0,0
Lucien Agoume,MF,Sevilla,es La Liga,21,8.6,21,2.43,19,0,2,0,0,0,1,0.12,1,0,0,0,0,0
Felix Agu,"DF,MF",Werder Bremen,de Bundesliga,23,17.9,24,1.34,16,1,0,0,7,0,3,0.17,0,0,0,0,3,0
Nayef Aguerd,DF,West Ham,eng Premier League,27,20.6,14,0.68,12,1,0,1,0,0,0,0.00,0,0,0,0,0,0
Ruben Aguilar,DF,Lens,fr Ligue 1,30,21.4,47,2.20,43,1,1,2,0,0,5,0.23,5,0,0,0,0,0
Anel Ahmedhodžić,DF,Sheffield Utd,eng Premier League,24,29.4,26,0.88,23,0,0,3,0,0,1,0.03,0,0,0,1,0,0
Joseph Aidoo,DF,Celta Vigo,es La Liga,27,4.5,6,1.33,4,0,1,1,0,0,1,0.22,0,0,0,1,0,0
Ola Aina,DF,Nott'ham Forest,eng Premier League,26,18.8,38,2.02,25,5,3,1,3,1,1,0.05,1,0,0,0,0,0
Rayan Aït-Nouri,"DF,MF",Wolves,eng Premier League,22,25.9,65,2.51,41,9,6,3,6,0,5,0.19,2,0,0,0,3,0
Tosin Aiyegun,"MF,FW",Lorient,fr Ligue 1,25,10.0,13,1.30,12,0,0,0,1,0,1,0.10,0,0,0,0,1,0
Kristoffer Ajer,DF,Brentford,eng Premier League,25,20.4,27,1.33,24,0,1,2,0,0,3,0.15,3,0,0,0,0,0
Ludovic Ajorque,FW,Mainz 05,de Bundesliga,29,15.1,37,2.45,29,1,0,1,5,1,0,0.00,0,0,0,0,0,0
