Player,Pos,Squad,Comp,Age,90s,Performance-CrdY,Performance-CrdR,Performance-2CrdY,Performance-Fls,Performance-Fld,Performance-Off,Performance-Crs,Performance-Int,Performance-TklW,Performance-PKwon,Performance-PKcon,Performance-OG,Performance-Recov,Aerial Duels-Won,Aerial Duels-Lost,Aerial Duels-Won%
Max Aarons,DF,Bournemouth,eng Premier League,23,13.7,1,0,0,12,26,2,13,8,19,0,1,0,75,5,11,31.3
Brenden Aaronson,"MF,FW",Union Berlin,de Bundesliga,22,14.1,3,1,1,15,25,5,22,2,18,0,0,0,88,13,16,44.8
Yunis Abdelhamid,DF,Reims,fr Ligue 1,35,30.9,5,0,0,26,12,0,3,39,35,0,0,1,149,61,37,62.2
Salis Abdul Samed,MF,Lens,fr Ligue 1,23,16.9,2,0,0,34,16,0,3,12,14,0,3,0,89,2,7,22.2
Laurent Abergel,MF,Lorient,fr Ligue 1,30,31.8,4,0,0,36,36,1,34,61,52,0,0,0,226,15,14,51.7
Matthis Abline,FW,Nantes,fr Ligue 1,20,11.6,1,0,0,10,13,6,7,3,4,1,0,0,39,15,27,35.7
Abner,DF,Betis,es La Liga,23,15.6,3,0,0,16,2,2,26,15,19,0,1,0,79,14,10,58.3
Zakaria Aboukhlal,"MF,FW",Toulouse,fr Ligue 1,23,8.4,2,0,0,17,15,8,5,1,8,1,0,0,21,6,7,46.2
Abdel Abqar,DF,Alavés,es La Liga,24,25.7,10,0,0,33,23,1,2,23,19,0,2,1,109,39,36,52.0
Francesco Acerbi,DF,Inter,it Serie A,35,26.5,1,0,0,19,24,3,9,32,13,0,0,0,102,70,37,65.4
Marcos Acuña,DF,Sevilla,es La Liga,31,14.4,7,0,0,18,17,1,82,4,21,0,0,0,99,13,11,54.2
Bénie Adama Traore,"FW,MF",Sheffield Utd,eng Premier League,20,4.3,0,0,0,10,4,1,3,1,2,0,0,0,22,2,18,10.0
Bénie Adama Traore,"FW,MF",Nantes,fr Ligue 1,20,5.6,1,1,0,10,7,1,20,1,4,0,0,0,28,1,11,8.3
Akor Adams,FW,Montpellier,fr Ligue 1,23,25.0,2,0,0,39,22,26,12,5,4,0,0,0,55,54,69,43.9
Sargis Adamyan,"FW,MF",Köln,de Bundesliga,30,8.9,2,0,0,18,13,8,4,5,9,1,0,0,30,14,37,27.5
Tosin Adarabioyo,DF,Fulham,eng Premier League,25,18.0,2,0,0,10,5,0,1,25,11,0,0,0,43,56,28,66.7
Elijah Adebayo,FW,Luton Town,eng Premier League,25,15.8,1,0,0,27,16,13,5,6,1,0,0,0,34,43,43,50.0
Karim Adeyemi,"FW,MF",Dortmund,de Bundesliga,21,10.1,6,1,1,20,19,1,25,3,14,0,0,0,60,14,9,60.9
Simon Adingra,FW,Brighton,eng Premier League,21,24.7,3,0,0,29,19,17,76,19,20,1,0,0,118,8,12,40.0
Nathaniel Adjei,DF,Lorient,fr Ligue 1,20,13.8,2,0,0,10,12,2,2,18,9,0,0,0,60,30,22,57.7
Amine Adli,"MF,FW",Leverkusen,de Bundesliga,23,10.0,5,0,0,14,28,7,23,6,7,0,0,0,36,21,22,48.8
Yacine Adli,MF,Milan,it Serie A,23,15.6,3,0,0,26,9,1,50,20,17,0,1,0,94,15,10,60.0
Michel Aebischer,MF,Bologna,it Serie A,26,24.8,8,0,0,37,30,0,12,12,20,0,0,0,135,11,16,40.7
Emmanuel Agbadou,DF,Reims,fr Ligue 1,26,28.8,1,0,0,31,10,2,6,55,41,0,3,0,217,45,32,58.4
Lucien Agoume,MF,Sevilla,es La Liga,21,8.6,3,0,0,19,2,0,2,7,18,0,0,0,48,9,7,56.3
Felix Agu,"DF,MF",Werder Bremen,de Bundesliga,23,17.9,2,0,0,15,44,2,46,13,29,3,0,0,71,15,24,38.5
Nayef Aguerd,DF,West Ham,eng Premier League,27,20.6,3,1,1,10,6,0,5,17,14,0,1,0,102,48,32,60.0
Ruben Aguilar,DF,Lens,fr Ligue 1,30,21.4,3,0,0,20,24,3,75,26,31,0,1,0,106,24,23,51.1
Anel Ahmedhodžić,DF,Sheffield Utd,eng Premier League,24,29.4,11,1,1,34,13,2,6,35,36,0,0,0,107,51,37,58.0
Joseph Aidoo,DF,Celta Vigo,es La Liga,27,4.5,0,0,0,4,0,0,0,4,3,0,0,0,22,14,9,60.9
Ola Aina,DF,Nott'ham Forest,eng Premier League,26,18.8,3,0,0,18,25,2,28,18,31,0,1,0,97,16,12,57.1
Rayan Aït-Nouri,"DF,MF",Wolves,eng Premier League,22,25.9,7,0,0,25,53,8,41,15,44,1,1,0,136,21,25,45.7
Tosin Aiyegun,"MF,FW",Lorient,fr Ligue 1,25,10.0,0,1,0,13,16,3,8,2,4,1,0,0,33,6,10,37.5
Kristoffer Ajer,DF,Brentford,eng Premier League,25,20.4,5,0,0,25,10,1,22,25,21,0,0,0,60,63,23,73.3
Ludovic Ajorque,FW,Mainz 05,de Bundesliga,29,15.1,4,0,0,28,15,5,3,4,2,0,0,0,49,78,91,46.2
Manuel Akanji,"DF,MF",Manchester City,eng Premier League,28,27.9,4,1,1,17,19,0,9,23,28,0,0,0,142,27,27,50.0
Nathan Aké,DF,Manchester City,eng Premier League,28,22.7,0,0,0,10,18,0,11,14,16,0,0,0,119,46,28,62.2
Ilias Akhomach,"MF,FW",Villarreal,es La Liga,19,16.8,4,0,0,41,35,4,29,13,21,0,0,0,70,3,7,30.0
Sergio Akieme,DF,Almería,es La Liga,25,18.6,2,0,0,18,17,1,57,10,15,0,2,0,99,10,15,40.0
Sergio Akieme,DF,Reims,fr Ligue 1,25,9.1,2,0,0,17,10,0,21,10,5,0,0,0,40,6,4,60.0
Maghnes Akliouche,"MF,FW",Monaco,fr Ligue 1,21,17.9,5,0,0,33,31,1,54,9,23,0,0,0,110,4,19,17.4
