Player,Pos,Squad,Comp,Age,90s,Standard-Gls,Standard-Sh,Standard-SoT,Standard-SoT%,Standard-Sh/90,Standard-SoT/90,Standard-G/Sh,Standard-G/SoT,Standard-Dist,Standard-FK,Standard-PK,Standard-PKatt,Expected-xG,Expected-npxG,Expected-npxG/Sh,Expected-G-xG,Expected-np:G-xG
Max Aarons,DF,Bournemouth,eng Premier League,23,13.7,0,2,0,0.0,0.15,0.00,0.00,,23.9,0,0,0,0.0,0.0,0.02,0.0,0.0
Brenden Aaronson,"MF,FW",Union Berlin,de Bundesliga,22,14.1,2,18,7,38.9,1.28,0.50,0.11,0.29,18.4,0,0,0,2.0,2.0,0.11,0.0,0.0
Yunis Abdelhamid,DF,Reims,fr Ligue 1,35,30.9,4,21,7,33.3,0.68,0.23,0.14,0.43,15.0,0,1,1,3.4,2.6,0.13,+0.6,+0.4
Salis Abdul Samed,MF,Lens,fr Ligue 1,23,16.9,0,5,0,0.0,0.30,0.00,0.00,,21.6,0,0,0,0.8,0.8,0.17,-0.8,-0.8
Laurent Abergel,MF,Lorient,fr Ligue 1,30,31.8,2,26,11,42.3,0.82,0.35,0.08,0.18,26.5,0,0,0,1.1,1.1,0.04,+0.9,+0.9
Matthis Abline,FW,Nantes,fr Ligue 1,20,11.6,5,42,19,45.2,3.62,1.64,0.12,0.26,17.4,0,0,0,3.8,3.8,0.09,+1.2,+1.2
Abner,DF,Betis,es La Liga,23,15.6,0,4,0,0.0,0.26,0.00,0.00,,15.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Zakaria Aboukhlal,"MF,FW",Toulouse,fr Ligue 1,23,8.4,3,27,7,25.9,3.22,0.84,0.07,0.29,18.7,0,1,1,2.8,2.0,0.07,+0.2,0.0
Abdel Abqar,DF,Alavés,es La Liga,24,25.7,0,10,3,30.0,0.39,0.12,0.00,0.00,12.1,0,0,0,0.5,0.5,0.05,-0.5,-0.5
Francesco Acerbi,DF,Inter,it Serie A,35,26.5,3,15,6,40.0,0.57,0.23,0.20,0.50,12.0,0,0,0,1.6,1.6,0.11,+1.4,+1.4
Marcos Acuña,DF,Sevilla,es La Liga,31,14.4,1,9,4,44.4,0.63,0.28,0.11,0.25,27.9,0,0,0,0.3,0.3,0.03,+0.7,+0.7
Bénie Adama Traore,"FW,MF",Sheffield Utd,eng Premier League,20,4.3,0,1,1,100.0,0.23,0.23,0.00,0.00,15.3,0,0,0,0.3,0.3,0.27,-0.3,-0.3
Bénie Adama Traore,"FW,MF",Nantes,fr Ligue 1,20,5.6,0,7,4,57.1,1.25,0.71,0.00,0.00,18.7,1,0,0,0.7,0.7,0.10,-0.7,-0.7
Akor Adams,FW,Montpellier,fr Ligue 1,23,25.0,8,79,32,40.5,3.16,1.28,0.10,0.25,14.5,0,0,0,12.4,12.4,0.16,-4.4,-4.4
Sargis Adamyan,"FW,MF",Köln,de Bundesliga,30,8.9,1,31,13,41.9,3.48,1.46,0.03,0.08,12.4,0,0,0,4.1,4.1,0.13,-3.1,-3.1
Tosin Adarabioyo,DF,Fulham,eng Premier League,25,18.0,2,14,5,35.7,0.78,0.28,0.14,0.40,14.2,0,0,0,0.7,0.7,0.05,+1.3,+1.3
Elijah Adebayo,FW,Luton Town,eng Premier League,25,15.8,10,31,14,45.2,1.97,0.89,0.32,0.71,9.6,0,0,0,5.9,5.9,0.19,+4.1,+4.1
Karim Adeyemi,"FW,MF",Dortmund,de Bundesliga,21,10.1,3,23,10,43.5,2.27,0.99,0.13,0.30,14.6,0,0,0,3.5,3.5,0.15,-0.5,-0.5
Simon Adingra,FW,Brighton,eng Premier League,21,24.7,6,52,22,42.3,2.11,0.89,0.12,0.27,15.9,0,0,0,4.3,4.3,0.08,+1.7,+1.7
Nathaniel Adjei,DF,Lorient,fr Ligue 1,20,13.8,0,4,0,0.0,0.29,0.00,0.00,,8.3,0,0,0,0.4,0.4,0.09,-0.4,-0.4
Amine Adli,"MF,FW",Leverkusen,de Bundesliga,23,10.0,4,27,15,55.6,2.71,1.50,0.15,0.27,13.7,0,0,0,3.3,3.3,0.12,+0.7,+0.7
Yacine Adli,MF,Milan,it Serie A,23,15.6,1,4,1,25.0,0.26,0.06,0.25,1.00,19.8,0,0,0,0.3,0.3,0.07,+0.7,+0.7
Michel Aebischer,MF,Bologna,it Serie A,26,24.8,0,18,5,27.8,0.73,0.20,0.00,0.00,22.4,0,0,0,1.1,1.1,0.06,-1.1,-1.1
Emmanuel Agbadou,DF,Reims,fr Ligue 1,26,28.8,1,32,5,15.6,1.11,0.17,0.03,0.20,15.1,0,0,0,2.4,2.4,0.07,-1.4,-1.4
Lucien Agoume,MF,Sevilla,es La Liga,21,8.6,0,6,2,33.3,0.69,0.23,0.00,0.00,13.2,0,0,0,0.9,0.9,0.14,-0.9,-0.9
Felix Agu,"DF,MF",Werder Bremen,de Bundesliga,23,17.9,0,11,0,0.0,0.61,0.00,0.00,,19.5,0,0,0,0.9,0.9,0.08,-0.9,-0.9
Nayef Aguerd,DF,West Ham,eng Premier League,27,20.6,1,14,3,21.4,0.68,0.15,0.07,0.33,10.8,0,0,0,1.5,1.5,0.11,-0.5,-0.5
Ruben Aguilar,DF,Lens,fr Ligue 1,30,21.4,1,12,4,33.3,0.56,0.19,0.08,0.25,16.1,0,0,0,1.4,1.4,0.12,-0.4,-0.4
Anel Ahmedhodžić,DF,Sheffield Utd,eng Premier League,24,29.4,2,19,5,26.3,0.65,0.17,0.11,0.40,11.9,0,0,0,3.1,3.1,0.17,-1.1,-1.1
Joseph Aidoo,DF,Celta Vigo,es La Liga,27,4.5,0,3,0,0.0,0.66,0.00,0.00,,15.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Ola Aina,DF,Nott'ham Forest,eng Premier League,26,18.8,1,11,1,9.1,0.59,0.05,0.09,1.00,26.6,0,0,0,0.3,0.3,0.02,+0.7,+0.7
Rayan Aït-Nouri,"DF,MF",Wolves,eng Premier League,22,25.9,2,24,8,33.3,0.93,0.31,0.08,0.25,16.8,0,0,0,3.3,3.3,0.14,-1.3,-1.3
Tosin Aiyegun,"MF,FW",Lorient,fr Ligue 1,25,10.0,2,11,3,27.3,1.10,0.30,0.18,0.67,22.7,0,0,0,1.8,1.8,0.17,+0.2,+0.2
Kristoffer Ajer,DF,Brentford,eng Premier League,25,20.4,2,12,4,33.3,0.59,0.20,0.17,0.50,9.9,0,0,0,1.3,1.3,0.11,+0.7,+0.7
Ludovic Ajorque,FW,Mainz 05,de Bundesliga,29,15.1,2,27,6,22.2,1.79,0.40,0.07,0.33,13.1,0,0,2,5.3,3.7,0.14,-3.3,-1.7
Manuel Akanji,"DF,MF",Manchester City,eng Premier League,28,27.9,2,15,5,33.3,0.54,0.18,0.13,0.40,17.0,0,0,0,1.9,1.9,0.13,+0.1,+0.1
Nathan Aké,DF,Manchester City,eng Premier League,28,22.7,2,20,5,25.0,0.88,0.22,0.10,0.40,10.8,0,0,0,2.5,2.5,0.12,-0.5,-0.5
Ilias Akhomach,"MF,FW",Villarreal,es La Liga,19,16.8,2,30,7,23.3,1.79,0.42,0.07,0.29,18.1,0,0,0,3.2,3.2,0.11,-1.2,-1.2
Sergio Akieme,DF,Almería,es La Liga,25,18.6,2,9,5,55.6,0.48,0.27,0.22,0.40,17.4,0,0,0,1.2,1.2,0.13,+0.8,+0.8
Sergio Akieme,DF,Reims,fr Ligue 1,25,9.1,2,11,2,18.2,1.21,0.22,0.18,1.00,18.3,0,0,0,1.4,1.4,0.13,+0.6,+0.6
Maghnes Akliouche,"MF,FW",Monaco,fr Ligue 1,21,17.9,7,36,22,61.1,2.01,1.23,0.19,0.32,15.7,1,0,0,5.4,5.4,0.15,+1.6,+1.6
Jean-Daniel Akpa-Akpro,MF,Monza,it Serie A,30,7.8,0,7,3,42.9,0.89,0.38,0.00,0.00,26.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5
Kevin Akpoguma,DF,Hoffenheim,de Bundesliga,28,12.2,0,2,0,0.0,0.16,0.00,0.00,,6.8,0,0,0,0.3,0.3,0.15,-0.3,-0.3
David Alaba,DF,Real Madrid,es La Liga,31,12.8,0,14,3,21.4,1.09,0.23,0.00,0.00,19.8,6,0,0,1.0,1.0,0.07,-1.0,-1.0
Luis Alberto,MF,Lazio,it Serie A,30,25.7,5,56,15,26.8,2.18,0.58,0.09,0.33,22.0,4,0,0,4.7,4.7,0.08,+0.3,+0.3
Raúl Albiol,DF,Villarreal,es La Liga,37,22.6,0,6,1,16.7,0.27,0.04,0.00,0.00,9.5,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Carlos Alcaraz,MF,Juventus,it Serie A,20,4.2,0,11,2,18.2,2.61,0.47,0.00,0.00,24.0,2,0,0,0.4,0.4,0.03,-0.4,-0.4
Rubén Alcaraz,MF,Cádiz,es La Liga,32,34.8,3,46,10,21.7,1.32,0.29,0.02,0.10,24.9,8,2,2,3.3,1.7,0.04,-0.3,-0.7
Omar Alderete,DF,Getafe,es La Liga,26,24.4,0,24,5,20.8,0.98,0.21,0.00,0.00,19.7,3,0,0,1.2,1.2,0.05,-1.2,-1.2
Iván Alejo,MF,Cádiz,es La Liga,28,18.8,0,11,2,18.2,0.59,0.11,0.00,0.00,21.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5
Carles Aleñá,MF,Getafe,es La Liga,25,11.3,1,16,5,31.3,1.41,0.44,0.06,0.20,18.8,0,0,0,1.2,1.2,0.08,-0.2,-0.2
Trent Alexander-Arnold,DF,Liverpool,eng Premier League,24,23.9,3,47,8,17.0,1.96,0.33,0.06,0.38,24.4,5,0,0,2.6,2.3,0.05,+0.4,+0.7
Mohamed Ali Cho,FW,Nice,fr Ligue 1,19,9.6,1,18,6,33.3,1.88,0.63,0.06,0.17,21.1,0,0,0,1.1,1.1,0.06,-0.1,-0.1
Faride Alidou,"FW,MF",Köln,de Bundesliga,22,14.2,4,33,11,33.3,2.32,0.77,0.12,0.36,14.5,0,0,0,3.0,3.0,0.09,+1.0,+1.0
Nabil Alioui,"MF,FW",Le Havre,fr Ligue 1,24,11.2,4,28,9,32.1,2.50,0.80,0.14,0.44,19.0,1,0,0,2.4,2.4,0.09,+1.6,+1.6
Alisson,GK,Liverpool,eng Premier League,30,28.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
Jim Allevinah,"MF,DF",Clermont Foot,fr Ligue 1,28,20.7,2,37,11,29.7,1.79,0.53,0.05,0.18,14.8,0,0,0,2.6,2.6,0.07,-0.6,-0.6
Domingos André Ribeiro Almeida,"FW,MF",Valencia,es La Liga,23,10.7,2,10,4,40.0,0.93,0.37,0.20,0.50,19.3,0,0,0,0.6,0.6,0.06,+1.4,+1.4
Miguel Almirón,FW,Newcastle Utd,eng Premier League,29,21.5,3,41,12,29.3,1.91,0.56,0.07,0.25,16.1,0,0,0,4.5,4.5,0.11,-1.5,-1.5
Pontus Almqvist,"FW,MF",Lecce,it Serie A,24,23.4,2,40,15,37.5,1.71,0.64,0.05,0.13,19.7,0,0,0,2.3,2.3,0.06,-0.3,-0.3
Adrià Altimira,"DF,MF",Villarreal,es La Liga,22,8.6,0,1,0,0.0,0.12,0.00,0.00,,27.2,0,0,0,0.0,0.0,0.03,0.0,0.0
Sergi Altimira,MF,Betis,es La Liga,21,6.3,1,7,2,28.6,1.11,0.32,0.14,0.50,22.3,0,0,0,0.2,0.2,0.03,+0.8,+0.8
Edson Álvarez,MF,West Ham,eng Premier League,25,26.4,1,17,3,17.6,0.64,0.11,0.06,0.33,21.1,0,0,0,1.3,1.3,0.08,-0.3,-0.3
Gastón Álvarez,DF,Getafe,es La Liga,23,28.2,2,14,3,21.4,0.50,0.11,0.14,0.67,16.5,0,0,0,0.7,0.7,0.05,+1.3,+1.3
Hugo Álvarez,"MF,DF",Celta Vigo,es La Liga,20,8.5,1,12,4,33.3,1.42,0.47,0.08,0.25,13.9,0,0,0,1.0,1.0,0.09,0.0,0.0
Julián Álvarez,"MF,FW",Manchester City,eng Premier League,23,29.4,11,96,37,38.5,3.26,1.26,0.09,0.24,17.8,13,2,2,13.0,11.5,0.12,-2.0,-2.5
Yeray Álvarez,DF,Athletic Club,es La Liga,28,12.8,0,7,2,28.6,0.55,0.16,0.00,0.00,14.2,0,0,0,0.3,0.3,0.04,-0.3,-0.3
Skelly Alvero,MF,Lyon,fr Ligue 1,21,4.7,1,9,3,33.3,1.90,0.63,0.11,0.33,22.9,0,0,0,0.4,0.4,0.05,+0.6,+0.6
Papa Amadou Diallo,FW,Metz,fr Ligue 1,19,9.9,2,13,5,38.5,1.32,0.51,0.15,0.40,14.7,0,0,0,2.6,2.6,0.20,-0.6,-0.6
Selim Amallah,"FW,MF",Valencia,es La Liga,26,6.7,0,11,4,36.4,1.64,0.60,0.00,0.00,21.9,0,0,0,0.4,0.4,0.04,-0.4,-0.4
Amath,"FW,MF",Mallorca,es La Liga,27,4.4,0,12,2,16.7,2.74,0.46,0.00,0.00,14.1,0,0,0,1.6,1.6,0.13,-1.6,-1.6
Zeki Amdouni,FW,Burnley,eng Premier League,22,21.7,5,48,21,43.8,2.21,0.97,0.08,0.19,17.8,0,1,1,5.8,5.0,0.10,-0.8,-1.0
Kelvin Amian,DF,Nantes,fr Ligue 1,25,8.9,0,1,0,0.0,0.11,0.00,0.00,,22.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Bruno Amione,DF,Hellas Verona,it Serie A,21,6.4,0,5,3,60.0,0.78,0.47,0.00,0.00,9.3,0,0,0,0.3,0.3,0.06,-0.3,-0.3
Michael Amir Murillo,DF,Marseille,fr Ligue 1,27,11.1,3,6,4,66.7,0.54,0.36,0.50,0.75,16.8,0,0,0,0.8,0.8,0.14,+2.2,+2.2
Nadiem Amiri,MF,Mainz 05,de Bundesliga,26,14.6,1,35,8,22.9,2.40,0.55,0.03,0.13,26.8,11,0,1,2.2,1.4,0.04,-1.2,-0.4
